"Code","Description","Paranoia"
"LH","Legalised oppressive practices.","1"
"LJ","Routinely oppressive and restrictive.","1"
"LK","Excessively oppressive & restrictive.","1"
"LL","Totally oppressive & restrictive.","1"
"LS","Special/variable.","1"
"LV","Special/variable.  (P)","1"
"P","POPULATION","1"
"P0","Few or no inhabitants.","1"
"P1","Tens of inhabitants.","1"
"P2","Hundreds of inhabitants.","1"
"P3","Thousands of inhabitants.","1"
"P4","Tens of thousands of inhabitants.","1"
"P5","Hundreds of thousands of inhabitants.","1"
"P6","Millions of inhabitants.","1"
"P7","Tens of millions of inhabitants.","1"
"P8","Hundreds of millions of inhabitants.","1"
"P9","Billions of inhabitants.","1"
"PA","Tens of billions of inhabitants.","1"
"PV","Variable.  (P)","1"
"R","REMARKS","1"
"S","STARPORT","1"
"SA","Excellent. Refined fuel, annual maintainence & full shipyards available.","1"
"SB","Good quality. Refined fuel, annual maintainence, non-starship yards","1"
"SC","Routine. Unrefined fuel, some repair facilities available.","1"
"SD","Poor. Unrefined fuel. No repair facilities.","1"
"SE","Frontier. A marked spot of rock with no fuel, facilities or bases.","1"
"SX","No starport. No provision made for ship landing.","1"
"T","TECHNOLOGICAL LEVEL","1"
"T+","Higher than Imperial (G-K)  (P)","1"
"T0","Stone Age; primitive.","1"
"T1","Bronze, iron. Bronze age-Middle ages.","1"
"T2","Printing press. First firearms. c.1400-1700.","1"
"T3","Basic science, industrial revolution. c.1700-1860.","1"
"T4","Internal combustion. c.1860-1900.","1"
"T5","Mass production. c.1900-1939.","1"
"T6","Nuclear power. c.1940-1969.","1"
"T7","Miniaturised electronics. c.1970-1979.","1"
"T8","Quality computers. c.1980-1989.","1"
"T9","Anti-gravity. Jump-1. c.1990-2000.","1"
"TA","Interstellar  community.","1"
"TB","Lower average Imperial. Jump-2.","1"
"TC","Average Imperial. Jump-3. First robots.","1"
"TD","Above average Imperial. Jump-4.","1"
"TE","Above average Imperial. Jump-5.","1"
"TF","Technical Imperial maximum. Jump-6.","1"
"TG","Darrian. Advanced meson beams, AI robots, experimental matter transport","1"
"TH","Artificial intelligence, anti-matter, improved matter transport","1"
"TJ","Personal disintegrators.","1"
"TK","Plastic metals.","1"
"TL","Comprehensible only as technological magic.","1"
"X","STELLAR DATA","1"
"XA","Blue-white 8,000-9,900 degrees K","1"
"XB","White  14,200-28,000 degrees K","1"
"XF","Yellow-white 6,100-7,400 degrees K","1"
"XG","Yellow 4,700-6,100 degrees K","1"
"XK","Orange 3,300-5,000 degrees K","1"
"XM","Red 1,900-3600 degrees K","1"
"ZZ","No code found in file (bugger)","1"
"A","ATMOSPHERE","1"
"Q","EXTENDED TRAFFIC CODE","0"
"QX","Less than 1k tons\year (< 1 free trader\month) DM -2 Enc:I","0"
"Q0","At least 1k tons per year (1 free trader per month) DM-1 Enc:F","0"
"Q1","At least 10k tons\year (1 sub merchant\fortnight) DM -1 Enc:F","0"
"Q2","At least 50k tons per year (2 sub merchants\week) DM -1 Enc:F","0"
"Q3","At least 100 thousand tons per year  DM -1 Enc:D","0"
"Q4","At least 500 thousand tons per year DM -1 Enc:D","0"
"Q5","At least 1 million tons per year DM -1 Enc:D","0"
"Q6","At least 2.5 million tons per year DM 0 Enc:R","0"
"Q7","At least 5 million tons per year DM 0 Enc:R","0"
"Q8","At least 7.5 million tons per year DM 0 Enc:R","0"
"Q9","At least 10 million tons per year DM +1 Enc:S","0"
"QA","At least 50 million tons per year DM +1 Enc:S","0"
"QB","At least 100 million tons per year DM +1 Enc:S","0"
"QD","At least 1 billion tons per year DM +1 Enc:S","0"
"QE","At least 2.5 billion tons per year DM +1 Enc:S","0"
"QF","At least 5 billion tons per year DM +2 Enc:S","0"
"U","EXTENDED FACILITIES CODE","0"
"UX","Abandoned,destroyed or converted to other function DM-2 Task:I","0"
"U0","Fails to meet all requirements for stated class DM -1 Task:F","0"
"U1","Facilities below rating in at least one respect DM -1 Task:F","0"
"U2","Base minumum for starport rating DM -1 Task:F","0"
"U3","Cramped, low capacity facilities DM -1 Task:D","0"
"U4","Substandard facilities and services DM -1 Task:D","0"
"U5","Small,crowded,delays for all facilities & services DM-1 Task:D","0"
"U6","Small but not overcrowded DM 0 Task:R","0"
"U7","About average, busy for its size DM 0 Task:R","0"
"U8","About average DM 0 Task:R","0"
"U9","Better than average facilites and services DM +1 Task:R","0"
"UA","Spacious facilities,easily handles present traffic DM+1 Task:R","0"
"UB","Spacious facilities & eficient, skilled services DM +1 Task:R","0"
"UC","Capable of almost anything DM +1 Task:S","0"
"UD","Large,cavernous with plenty of room for expansion DM +1 Task:S","0"
"UE","Excellent facilities, any req within port rating DM+1 Task:S","0"
"UF","Outstanding,large,efficient,approaches next rating DM+2 Task:S","0"
