"SubSectorN","Sector","SubSector","Notes"
"Gadde","DAGUDASHAAG","L",""
"Bolivar","DAGUDASHAAG","M",""
"Argi","DAGUDASHAAG","N",""
"Sapphyre","DAGUDASHAAG","O",""
"","DARK NEBULA","A",""
"","DARK NEBULA","B",""
"","DARK NEBULA","C",""
"","DARK NEBULA","D",""
"","DARK NEBULA","E",""
"","DARK NEBULA","F",""
"","DARK NEBULA","H",""
"","DARK NEBULA","I",""
"","DARK NEBULA","J",""
"","DARK NEBULA","K",""
"","DARK NEBULA","L",""
"","DARK NEBULA","M",""
"","DARK NEBULA","N",""
"","DARK NEBULA","P",""
"Pretoria","DENEB","A",""
"Lamas","DENEB","B",""
"Antra","DENEB","C",""
"Million","DENEB","D",""
"Sabine","DENEB","E",""
"Inar","DENEB","F",""
"Dunmag","DENEB","G",""
"Atsah","DENEB","H",""
"Star Lane","DENEB","I",""
"Vinccennes","DENEB","J",""
"Usani","DENEB","K",""
"Genishir","DENEB","L",""
"Gulf","DENEB","M",""
"Zeng","DENEB","N",""
"Kamiar","DENEB","O",""
"Vast Heavens","DENEB","P",""
"Narquel","DIASPORA","A",""
"Libert","DIASPORA","B",""
"Sufren","DIASPORA","C",""
"Khavle","DIASPORA","D",""
"Shadigi","DIASPORA","E",""
"Kushga","DIASPORA","F",""
"Alurza","DIASPORA","G",""
"Pasdaruu","DIASPORA","H",""
"Ebasha","DIASPORA","I",""
"Iusea","DIASPORA","J",""
"The Blight","DIASPORA","K",""
"Promise","DIASPORA","L",""
"Hijiri","DIASPORA","M",""
"Shumisdi","DIASPORA","N",""
"Madoc","DIASPORA","O",""
"Khulam","DIASPORA","P",""
"Klens","FOREVEN","A",""
"Tarlanor","FOREVEN","B",""
"Spartan","FOREVEN","C",""
"Massinia","FOREVEN","D",""
"Floddeighmore","FOREVEN","E",""
"Sienz","FOREVEN","F",""
"Aetugar","FOREVEN","G",""
"Fessor","FOREVEN","H",""
"Pris","FOREVEN","I",""
"Cromwell","FOREVEN","J",""
"Orion","FOREVEN","K",""
"Reidain","FOREVEN","L",""
"Rull","FOREVEN","M",""
"Harem","FOREVEN","N",""
"Piah","FOREVEN","O",""
"Urnian","FOREVEN","P",""
"Riften","GUSHEMEGE","A",""
"Khiira","GUSHEMEGE","B",""
"Taapvaia","GUSHEMEGE","C",""
"Tansa","GUSHEMEGE","D",""
"Gandonen","GUSHEMEGE","E",""
"Rure","GUSHEMEGE","F",""
"Ankhsusgar","GUSHEMEGE","G",""
"Isi Ahto","GUSHEMEGE","H",""
"Balech","GUSHEMEGE","I",""
"Sallounn","GUSHEMEGE","J",""
"Dashinshaii","GUSHEMEGE","K",""
"Shire","GUSHEMEGE","L",""
"Vipach","GUSHEMEGE","M",""
"Laeth","GUSHEMEGE","N",""
"Truax","GUSHEMEGE","O",""
"Lagan","GUSHEMEGE","P",""
"Adar","HINTERWORLDS","A",""
"Anubis","HINTERWORLDS","C",""
"Pedinash Ginshar","HINTERWORLDS","D",""
"Cimeon","HINTERWORLDS","E",""
"Darvis","HINTERWORLDS","F",""
"Menere's Reach","HINTERWORLDS","H",""
"Nullia","HINTERWORLDS","I",""
"Bruia","HINTERWORLDS","J",""
"Silver Laurel","HINTERWORLDS","K",""
"Hashi","HINTERWORLDS","M",""
"Kandra","HINTERWORLDS","N",""
"Tempri","HINTERWORLDS","O",""
"SUBSEC-A","ILELISH","A",""
"SUBSEC-B","ILELISH","B",""
"SUBSEC-C","ILELISH","C",""
"SUBSEC-D","ILELISH","D",""
"SUBSEC-E","ILELISH","E",""
"SUBSEC-F","ILELISH","F",""
"SUBSEC-G","ILELISH","G",""
"SUBSEC-H","ILELISH","H",""
"SUBSEC-I","ILELISH","I",""
"SUBSEC-J","ILELISH","J",""
"SUBSEC-K","ILELISH","K",""
"SUBSEC-L","ILELISH","L",""
"SUBSEC-M","ILELISH","M",""
"SUBSEC-N","ILELISH","N",""
"SUBSEC-O","ILELISH","O",""
"SUBSEC-P","ILELISH","P",""
"Cheetham","IPHEGENAIA","A",""
"La Grone","IPHEGENAIA","B",""
"Keflin","IPHEGENAIA","C",""
"Shillelagh","IPHEGENAIA","D",""
"Rondo","IPHEGENAIA","E",""
"Turandot","IPHEGENAIA","F",""
"Corps","IPHEGENAIA","G",""
"Binder","IPHEGENAIA","H",""
"Belladonna","IPHEGENAIA","I",""
"Slaters Deep","IPHEGENAIA","J",""
"Saxis","IPHEGENAIA","K",""
"Persiflage","IPHEGENAIA","L",""
"Zukas","IPHEGENAIA","M",""
"Tarquin","IPHEGENAIA","N",""
"Kaanmi","IPHEGENAIA","O",""
"Nushiam","IPHEGENAIA","P",""
"Vakkuun","LISHUN","A",""
"Adawi","LISHUN","B",""
"Sotri","LISHUN","C",""
"Criideu","LISHUN","D",""
"Pryden","LISHUN","E",""
"Masionia","LISHUN","F",""
"Gama","LISHUN","G",""
"Tephany","LISHUN","H",""
"Shuna","LISHUN","I",""
"Taccis","LISHUN","J",""
"Simen","LISHUN","K",""
"Ot Zell","LISHUN","L",""
"Shuun","LISHUN","M",""
"Welling","LISHUN","N",""
"Strashna","LISHUN","O",""
"Mirmida","LISHUN","P",""
"Kerr","MASSILIA","A",""
"Arar","MASSILIA","B",""
"Khisham","MASSILIA","C",""
"Zalucha","MASSILIA","D",""
"Keum","MASSILIA","E",""
"Vaait","MASSILIA","F",""
"Forquee","MASSILIA","G",""
"Palasha","MASSILIA","H",""
"Ten Suns","MASSILIA","I",""
"Shiwonee","MASSILIA","J",""
"Nes'vra","MASSILIA","K",""
"Tooka","MASSILIA","L",""
"Annari","MASSILIA","M",""
"Shokee","MASSILIA","N",""
"Shimmer","MASSILIA","O",""
"Oreo","MASSILIA","P",""
"SUBSEC-A","NOWHERE","A",""
"SUBSEC-B","NOWHERE","B",""
"SUBSEC-C","NOWHERE","C",""
"SUBSEC-D","NOWHERE","D",""
"SUBSEC-E","NOWHERE","E",""
"SUBSEC-F","NOWHERE","F",""
"SUBSEC-G","NOWHERE","G",""
"SUBSEC-H","NOWHERE","H",""
"SUBSEC-I","NOWHERE","I",""
"SUBSEC-J","NOWHERE","J",""
"SUBSEC-K","NOWHERE","K",""
"SUBSEC-L","NOWHERE","L",""
"SUBSEC-M","NOWHERE","M",""
"SUBSEC-N","NOWHERE","N",""
"SUBSEC-O","NOWHERE","O",""
"SUBSEC-P","NOWHERE","P",""
"SUBSEC-C","REAVERS DEEP","C",""
"SUBSEC-D","REAVERS DEEP","D",""
"SUBSEC-E","REAVERS DEEP","E",""
"SUBSEC-G","REAVERS DEEP","G",""
"SUBSEC-I","REAVERS DEEP","I",""
"Drexilthar","REAVERS DEEP","K",""
"SUBSEC-M","REAVERS DEEP","M",""
"SUBSEC-O","REAVERS DEEP","O",""
"SUBSEC-P","REAVERS DEEP","P",""
"Vestus","REFT","A",""
"Macon","REFT","B",""
"Two Little","REFT","C",""
"Barker","REFT","D",""
"Usher","REFT","E",""
"Sagitarian","REFT","F",""
"Lost Way","REFT","G",""
"Gome","REFT","H",""
"Void 8","REFT","I",""
"New Islands","REFT","J",""
"Old Islands","REFT","K",""
"Limon","REFT","L",""
"Alone","REFT","M",""
"Evestin","REFT","N",""
"Arcrant","REFT","O",""
"Moibin","REFT","P",""
"Hwiwuiyo","RIFTSPAN REACHES","B",""
"Tyehlai","RIFTSPAN REACHES","C",""
"Ewasya'","RIFTSPAN REACHES","D",""
"Aokiylair","RIFTSPAN REACHES","F",""
"Ryuhleiea","RIFTSPAN REACHES","G",""
"Yuhiyah","RIFTSPAN REACHES","I",""
"Hryehkhtyei","RIFTSPAN REACHES","K",""
"Aoheiroiao","RIFTSPAN REACHES","L",""
"Ioihlehwa","RIFTSPAN REACHES","N",""
"Tuistao","RIFTSPAN REACHES","O",""
"Wahtoikoeakh","RIFTSPAN REACHES","P",""
"Ultima","SOLOMANI RIM","A",""
"Suleiman","SOLOMANI RIM","B",""
"Harlequin","SOLOMANI RIM","D",""
"Alderamin","SOLOMANI RIM","E",""
"Esperance","SOLOMANI RIM","F",""
"Vega","SOLOMANI RIM","G",""
"Banasdan","SOLOMANI RIM","H",""
"Dingir","SOLOMANI RIM","J",""
"Sol","SOLOMANI RIM","K",""
"Arcturus","SOLOMANI RIM","L",""
"Jardin","SOLOMANI RIM","M",""
"Capella","SOLOMANI RIM","N",""
"Kukulcan","SOLOMANI RIM","P",""
"Jewell","SPINWARD MARCHES","B",""
"Regina","SPINWARD MARCHES","C",""
"Querion","SPINWARD MARCHES","E",""
"Vilis","SPINWARD MARCHES","F",""
"Lanth","SPINWARD MARCHES","G",""
"Darrian","SPINWARD MARCHES","I",""
"Sword Worlds","SPINWARD MARCHES","J",""
"Mora","SPINWARD MARCHES","L",""
"Five Sisters","SPINWARD MARCHES","M",""
"District 268","SPINWARD MARCHES","N",""
"Trin's Veil","SPINWARD MARCHES","P",""
"Menorial","TROJAN REACHES","A",""
"Pax Rulin","TROJAN REACHES","C",""
"Gazulin","TROJAN REACHES","D",""
"Dpres","TROJAN REACHES","F",""
"Sindal","TROJAN REACHES","G",""
"Nora'a","TROJAN REACHES","I",""
"Goertal","TROJAN REACHES","J",""
"The Borderlands","TROJAN REACHES","L",""
"Ranib","TROJAN REACHES","M",""
"Silraaihe","TROJAN REACHES","N",""
"Binary","TROJAN REACHES","P",""
"Issoudun","VANGUARD REACHES","A",""
"Coos","VANGUARD REACHES","C",""
"Trelyn","VANGUARD REACHES","D",""
"Chapra","VANGUARD REACHES","E",""
"Pandemonium","VANGUARD REACHES","G",""
"Eslyat","VANGUARD REACHES","H",""
"Eckmann Schrift","VANGUARD REACHES","I",""
"Diadem","VANGUARD REACHES","K",""
"Kajaani","VANGUARD REACHES","L",""
"Helix","VANGUARD REACHES","M",""
"Old Colonies","VANGUARD REACHES","O",""
"Jarnac","VANGUARD REACHES","P",""
"Voskhod","VLAND","A",""
"Vhodan","VLAND","B",""
"Anarsi","VLAND","C",""
"Theton","VLAND","D",""
"Lalki Kharir","VLAND","E",""
"Kagamira","VLAND","F",""
"Vland","VLAND","G",""
"Shiigus","VLAND","H",""
"Dusa","VLAND","I",""
"Akumid","VLAND","J",""
"Kasear","VLAND","K",""
"Anakod","VLAND","L",""
"Parsi","VLAND","M",""
"Daangiilu","VLAND","N",""
"Nulisud","VLAND","O",""
"Kakadan","VLAND","P",""
"VOSKHOD","ZARUSHAGAR","A",""
"VHODAN","ZARUSHAGAR","B",""
"ANARSI","ZARUSHAGAR","C",""
"THETON","ZARUSHAGAR","D",""
"KHIPGE","ZARUSHAGAR","F",""
"VLAND","ZARUSHAGAR","G",""
"SHIIGUS","ZARUSHAGAR","H",""
"DUSA","ZARUSHAGAR","I",""
"AKUMID","ZARUSHAGAR","J",""
"KASEAR","ZARUSHAGAR","K",""
"ANAKOD","ZARUSHAGAR","L",""
"PARSI","ZARUSHAGAR","M",""
"DAANGIILU","ZARUSHAGAR","N",""
"NULISUD","ZARUSHAGAR","O",""
"KAKADAN","ZARUSHAGAR","P",""
"Zimigsika","AMDUKAN","A"," "
"Bauk's Reach","AMDUKAN","C"," "
"Faraeng","AMDUKAN","D"," "
"Sakas","AMDUKAN","E"," "
"Ozuvon","AMDUKAN","F"," "
"Hikaru","AMDUKAN","G"," "
"Urru","AMDUKAN","H"," "
"Julian","AMDUKAN","I"," "
"Ghadz","AMDUKAN","J"," "
"Nalimim","AMDUKAN","K"," "
"Mesmabi","AMDUKAN","L"," "
"Vector","AMDUKAN","M"," "
"Divide","AMDUKAN","N"," "
"Bordarnaa","AMDUKAN","O"," "
"Lorean","AMDUKAN","P"," "
"Pelusium","ANTARES","A"," "
"Ninik","ANTARES","B"," "
"Dartho","ANTARES","C"," "
"Oulduktak","ANTARES","D"," "
"Shurlarlem","ANTARES","E"," "
"Sarar","ANTARES","F"," "
"Gimgir","ANTARES","G"," "
"Kiirkandin","ANTARES","H"," "
"Urunishu","ANTARES","I"," "
"Urnadnim","ANTARES","J"," "
"Antares","ANTARES","K"," "
"Mukusi","ANTARES","L"," "
"Urgusap","ANTARES","M"," "
"Gaakish","ANTARES","N"," "
"Sakhag","ANTARES","O"," "
"Celebes","ANTARES","P"," "
"Dzerrgh","ARZUL","A"," "
"Fosten","ARZUL","B"," "
"Voeraghz","ARZUL","C"," "
"Khefs Dzo","ARZUL","D"," "
"Bikali","ARZUL","E"," "
"Kotsfa","ARZUL","F"," "
"Lekorma","ARZUL","G"," "
"Ghap Dall","ARZUL","H"," "
"Nishamidu","ARZUL","I"," "
"Gorzadi","ARZUL","J"," "
"Veldt","ARZUL","K"," "
"Prairie","ARZUL","L"," "
"Mycocona","ARZUL","M"," "
"Ambro","ARZUL","N"," "
"Plains","ARZUL","O"," "
"Desert","ARZUL","P"," "
"Somnia","CANOPUS","A"," "
"Yanos","CANOPUS","B"," "
"Scanlon","CANOPUS","C"," "
"Apmond","CANOPUS","D"," "
"Zervicit","CANOPUS","E"," "
"Galis","CANOPUS","F"," "
"Caprice","CANOPUS","G"," "
"Vaymo","CANOPUS","H"," "
"Hyskos","CANOPUS","I"," "
"Nanfeng","CANOPUS","J"," "
"Hamid","CANOPUS","K"," "
"Lares","CANOPUS","L"," "
"Ikaesi","CANOPUS","M"," "
"Trita","CANOPUS","N"," "
"Filio Petri","CANOPUS","O"," "
"Cabot","CANOPUS","P"," "
"Engarmi","CANOPUS","A"," "
"Link","EMPTY QUARTER","C"," "
"Kosh","EMPTY QUARTER","D"," "
"Requiem","EMPTY QUARTER","E"," "
"Flandry","EMPTY QUARTER","F"," "
"Cotan","EMPTY QUARTER","G"," "
"Nisaga","EMPTY QUARTER","H"," "
"Lentuli","EMPTY QUARTER","I"," "
"Tsuchida","Empty Qurter","J"," "
"Hebrin","Empty Qurter","K"," "
"Beta Niobe","Empty Qurter","L"," "
"Nulinad","Empty Qurter","M"," "
"Irash","Empty Qurter","O"," "
"Nosso Nosso","Empty Qurter","P"," "
"Fornook","Gateway","A"," "
"Atoon","Gateway","B"," "
"Denkard","Gateway","C"," "
"Lowton","Gateway","D"," "
"Splinter","Gateway","E"," "
"Windfleet","Gateway","F"," "
"Castra","Gateway","G"," "
"Forcett","Gateway","H"," "
"Ownsbee","Gateway","I"," "
"Beckann","Gateway","J"," "
"Ashton","Gateway","K"," "
"Riftin","Gateway","L"," "
"Arconna","Gateway","M"," "
"Ariel","Gateway","N"," "
"Cinder","Gateway","O"," "
"Linder","Gateway","P"," "
"Darkling","Glimmerdrift Reaches","A"," "
"Tri-Empire","Glimmerdrift Reaches","C"," "
"Marla","Glimmerdrift Reaches","D"," "
"Glowing","Glimmerdrift Reaches","E"," "
"Williamsburg","Glimmerdrift Reaches","G"," "
"Tasman","Glimmerdrift Reaches","H"," "
"Even","Glimmerdrift Reaches","I"," "
"Sosie","Glimmerdrift Reaches","K"," "
"Ryazan","Glimmerdrift Reaches","L"," "
"Zairae","Glimmerdrift Reaches","N"," "
"Sepik","Glimmerdrift Reaches","O"," "
"Daro","Glimmerdrift Reaches","P"," "
"Ongvos","Gvurrdon","A"," "
"Zoghz","Gvurrdon","B"," "
"Adhsakh","Gvurrdon","C"," "
"Fanganger","Gvurrdon","D"," "
"Uerra Rueshken","Gvurrdon","E"," "
"Dzen","Gvurrdon","F"," "
"Lla Iz Therrg","Gvurrdon","G"," "
"Thoengling","Gvurrdon","H"," "
"Kfan Uzangou","Gvurrdon","I"," "
"Ruhk","Gvurrdon","J"," "
"Ksits Usathu","Gvurrdon","K"," "
"Aelluekh","Gvurrdon","L"," "
"Llanic","Gvurrdon","M"," "
"Spurl","Gvurrdon","N"," "
"Uthe","Gvurrdon","O"," "
"Firgir","Gvurrdon","P"," "
"Ikhnaton","ley","A"," "
"Nightmare","ley","B"," "
"Noir Deep","ley","C"," "
"Zagrathian","ley","D"," "
"Spearhead","ley","E"," "
"Guadix Drift","ley","F"," "
"Titanstorm","ley","G"," "
"Osiris Deep","ley","H"," "
"Highlord","ley","I"," "
"Matarishan Fed","ley","J"," "
"Frontier Worlds","ley","K"," "
"Sydymic Empire","ley","L"," "
"Satyressia","ley","M"," "
"Outreumer","ley","N"," "
"Diamond-Prince","ley","O"," "
"Outworld","ley","P"," "
"Meritan","magyar","A"," "
"Dosgud","magyar","B"," "
"Kobayashi","magyar","C"," "
"Gadarur","magyar","D"," "
"Lore","magyar","E"," "
"Kiang","magyar","F"," "
"Callahan","magyar","G"," "
"Walpurgis","magyar","H"," "
"G'ronshe","magyar","I"," "
"Iirakai","magyar","J"," "
"Breland","magyar","K"," "
"Fugue","magyar","L"," "
"Sartarak","magyar","M"," "
"Bobbo","magyar","N"," "
"Sullivam","magyar","O"," "
"Morency","magyar","P"," "
"Zuugabish","mendan","A"," "
"Gainla","mendan","B"," "
"Armi","mendan","C"," "
"Mendan","mendan","D"," "
"Bammesuka","mendan","E"," "
"Kupid","mendan","F"," "
"Udinidir","mendan","G"," "
"Tozus Ganok","mendan","H"," "
"Sarkan","mendan","I"," "
"Lumda","mendan","J"," "
"Valosak","mendan","K"," "
"Kaasam","mendan","L"," "
"Ikdalon","mendan","M"," "
"Lasla","mendan","N"," "
"Maidza","mendan","O"," "
"Naem","mendan","P"," "
"Raen","meshan","A"," "
"Lues","meshan","B"," "
"Ungersol","meshan","C"," "
"Dekesh","meshan","D"," "
"Yonder","meshan","E"," "
"Arena","meshan","F"," "
"Varson","meshan","G"," "
"Maramar","meshan","H"," "
"Mersol","meshan","I"," "
"Zisran","meshan","J"," "
"Tokho","meshan","K"," "
"Oraros","meshan","L"," "
"Khuulu","meshan","M"," "
"Faengfel","meshan","N"," "
"Ekso","meshan","O"," "
"Sudzum","meshan","P"," "
"Dethenes","Old Expanses","A"," "
"Quinoid","Old Expanses","B"," "
"Ahrhi","Old Expanses","C"," "
"Rusco","Old Expanses","D"," "
"Jayna","Old Expanses","F"," "
"21 Worlds","Old Expanses","G"," "
"Ile","Old Expanses","H"," "
"Thoezennt","Old Expanses","I"," "
"Shenk","Old Expanses","J"," "
"Karse","Old Expanses","K"," "
"Nicosia","Old Expanses","M"," "
"Sarid","Old Expanses","N"," "
"So Skire","Old Expanses","O"," "
"Bascoj","Old Expanses","P"," "
"Naav","Spica","A"," "
"Bain","Spica","B"," "
"Spica","Spica","C"," "
"al Ajib","Spica","D"," "
"Tupindur","Spica","E"," "
"Three Spheres","Spica","F"," "
"Virginis","Spica","G"," "
"Sline","Spica","H"," "
"Boreal","Spica","I"," "
"Flux","Spica","J"," "
"Farbor","Spica","K"," "
"Erest","Spica","L"," "
"Trillion","Spica","M"," "
"Tohira","Spica","N"," "
"Kurfane","Spica","O"," "
"Syzygy","Spica","P"," "
"The Sandworlds","Star's End","A"," "
"Kedepar","Star's End","B"," "
"Two Sparks","Star's End","C"," "
"Rift Center","Star's End","D"," "
"Al Mayadin","Star's End","E"," "
"Five Systems","Star's End","F"," "
"Lesser Depths","Star's End","G"," "
"Greater Depths","Star's End","H"," "
"Nyridea","Star's End","I"," "
"Empty Void","Star's End","J"," "
"Empty Depths","Star's End","K"," "
"Gnaxkra","Star's End","L"," "
"Tamnai","Star's End","M"," "
"Krukurragzal","Star's End","N"," "
"Ekoop","Star's End","O"," "
"Hkur!","Star's End","P"," "
"Alrirleih","Ustral","A"," "
"Heasairlui","Ustral","B"," "
"Yewoiauehoah","Ustral","C"," "
"Thalia","Ustral","D"," "
"Stiy","Ustral","E"," "
"Hlol","Ustral","F"," "
"Aeahaihluil","Ustral","G"," "
"Iselle","Ustral","H"," "
"Ftea","Ustral","I"," "
"Ouateahaaorl","Ustral","J"," "
"Kemit","Ustral","K"," "
"Adere","Ustral","L"," "
"Ihtaois","Ustral","M"," "
"Khteaiwiyftei","Ustral","N"," "
"Oolyasiyl","Ustral","O"," "
"Ehfya","Ustral","P"," "
"Ark","Crucis Margin","A"," "
"Negoiul","Crucis Margin","B"," "
"Souris","Crucis Margin","C"," "
"Chhung Kuo","Crucis Margin","D"," "
"Mandin","Crucis Margin","E"," "
"Olsztyn","Crucis Margin","F"," "
"Lodz","Crucis Margin","G"," "
"Asturias","Crucis Margin","H"," "
"Pingsang","Crucis Margin","I"," "
"Accra","Crucis Margin","J"," "
"Turku","Crucis Margin","K"," "
"Andalusia","Crucis Margin","L"," "
"Piute","Crucis Margin","M"," "
"Nidge","Crucis Margin","N"," "
"Memsil","Crucis Margin","O"," "
"Falaya","Crucis Margin","P"," "
"Cirqa","Fornast","A"," "
"Spas","Fornast","B"," "
"Madu","Fornast","C"," "
"Snogsta","Fornast","D"," "
"AArna","Fornast","E"," "
"Akashganar","Fornast","F"," "
"Derri","Fornast","G"," "
"Sanny","Fornast","H"," "
"Imaka","Fornast","I"," "
"Irinkuka","Fornast","J"," "
"Dikhari","Fornast","K"," "
"Nareshakir","Fornast","L"," "
"Setten","Fornast","M"," "
"Tharrynra","Fornast","N"," "
"Shumduur","Fornast","O"," "
"Zukhin","Fornast","P"," "
"Laraa","DAGUDASHAAG","P",""
"Kilrai'","DARK NEBULA","G",""
"","DARK NEBULA","O",""
"SUBSEC-B","REAVERS DEEP","B",""
"SUBSEC-F","REAVERS DEEP","F",""
"SUBSEC-H","REAVERS DEEP","H",""
"SUBSEC-L","REAVERS DEEP","L",""
"SUBSEC-N","REAVERS DEEP","N",""
"Vendtup","Old Expanses","L"," "
"Chronor","Spinward Marches","A","Zho foothold"
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"","Spinward Marches","",""
"Aramis","SPINWARD MARCHES","D",""
"Rhylanor","SPINWARD MARCHES","H",""
"Lunion","SPINWARD MARCHES","K",""
"Glisten","SPINWARD MARCHES","O",""
"Egryn","TROJAN REACHES","B",""
"Yggdrasil","TROJAN REACHES","E",""
"Tobia","TROJAN REACHES","H",""
"Tlaiowaha","TROJAN REACHES","K",""
"Hkea'as","TROJAN REACHES","O",""
"Concord","SOLOMANI RIM","C",""
"Albadawi","SOLOMANI RIM","I",""
"Andwella","VANGUARD REACHES","B",""
"Haldensleben","VANGUARD REACHES","F",""
"Four Corners","VANGUARD REACHES","J",""
"Hyperion","VANGUARD REACHES","N",""
"Gemini","SOLOMANI RIM","O",""
"LALKI KHARIR","ZARUSHAGAR","E",""
"Rego","AMDUKAN","B"," "
"Daskomo","EMPTY QUARTER","B"," "
"Tairtsu","Empty Qurter","N"," "
"Thorstone","Glimmerdrift Reaches","B"," "
