"Batt","Section","Sec-Men","Platoon","Pla-Men","Sqd-Men","ID","Vehicle"
"ASB","SL","","SMA","","11","SMA9","GCARRIER"
"ASB","SL","","SMA","","11","SMAA","GCARRIER"
"ASB","SM","200","SMR","26","5","SMR1","HRV"
"ASB","SM","200","SMR","","5","SMR2","HRV"
"ASB","SM","200","SMR","","5","SMR3","HRV"
"ASB","SM","200","SMR","","5","SMR4","HRV"
"ASB","SM","200","SMR","","6","SMR5","GCARRIER"
"ASB","SM","200","SMS","26","5","SMS1","HRV"
"ASB","SM","200","SMS","","5","SMS2","HRV"
"ASB","SM","200","SMS","","5","SMS3","HRV"
"ASB","SM","200","SMS","","5","SMS4","HRV"
"ASB","SM","200","SMS","","6","SMS5","GCARRIER"
"ASB","SM","200","SMT","26","5","SMT1","HRV"
"ASB","SM","200","SMT","","5","SMT2","HRV"
"ASB","SM","200","SMT","","5","SMT3","HRV"
"ASB","SM","200","SMT","","5","SMT4","HRV"
"ASB","SM","200","SMT","","6","SMT5","GCARRIER"
"ASB","SL","52","SLH","8","2","SLH1","AIRRAFT"
"ASB","SL","","SLH","","2","SLH2","AIRRAFT"
"ASB","SL","","SLH","","2","SLH3","AIRRAFT"
"ASB","SL","","SLH","","2","SLH4","AIRRAFT"
"ASB","SL","","SLW","8","8","SLW1","ASTRIN"
"ASB","SL","","SLT","12","1","SLT1","TEAMSTER"
"ASB","SL","","SLT","","1","SLT2","TEAMSTER"
"ASB","SL","","SLT","","1","SLT3","TEAMSTER"
"ASB","SL","","SLT","","1","SLT4","TEAMSTER"
"ASB","SL","","SLT","","1","SLT5","TEAMSTER"
"ASB","SL","","SLT","","1","SLT6","TEAMSTER"
"ASB","SL","","SLT","","1","SLT7","TEAMSTER"
"ASB","SL","","SLT","","1","SLT8","TEAMSTER"
"ASB","SL","","SLT","","1","SLT9","TEAMSTER"
"ASB","SL","","SLT","","1","SLTA","TEAMSTER"
"ASB","SL","","SLT","","1","SLTB","TEAMSTER"
"ASB","SL","","SLT","","1","SLTC","TEAMSTER"
"ASB","SL","","SLU","12","1","SLU1","TEAMSTER"
"ASB","SL","","SLU","","1","SLU2","TEAMSTER"
"ASB","SL","","SLU","","1","SLU3","TEAMSTER"
"ASB","SL","","SLU","","1","SLU4","TEAMSTER"
"ASB","SL","","SLU","","1","SLU5","TEAMSTER"
"ASB","SL","","SLU","","1","SLU6","TEAMSTER"
"ASB","SL","","SLU","","1","SLU7","TEAMSTER"
"ASB","SL","","SLU","","1","SLU8","TEAMSTER"
"ASB","SL","","SLU","","1","SLU9","TEAMSTER"
"ASB","SL","","SLU","","1","SLUA","TEAMSTER"
"ASB","SL","","SLU","","1","SLUB","TEAMSTER"
"ASB","SL","","SLU","","1","SLUC","TEAMSTER"
"ASB","SL","","SLV","12","1","SLV1","TEAMSTER"
"ASB","SL","","SLV","","1","SLV2","TEAMSTER"
"ASB","SL","","SLV","","1","SLV3","TEAMSTER"
"ASB","SL","","SLV","","1","SLV4","TEAMSTER"
"ASB","SL","","SLV","","1","SLV5","TEAMSTER"
"ASB","SL","","SLV","","1","SLV6","TEAMSTER"
"ASB","SL","","SLV","","1","SLV7","TEAMSTER"
"ASB","SL","","SLV","","1","SLV8","TEAMSTER"
"ASB","SL","","SLV","","1","SLV9","TEAMSTER"
"ASB","SL","","SLV","","1","SLVA","TEAMSTER"
"ASB","SL","","SLV","","1","SLVB","TEAMSTER"
"ASB","SL","","SLV","","1","SLVC","TEAMSTER"
"ASB","SP","48","SPH","9","3","SPH1","AIRRAFT"
"ASB","SP","48","SPH","","3","SPH2","AIRRAFT"
"ASB","SP","48","SPH","","3","SPH3","AIRRAFT"
"ASB","SP","48","SPP","33","2","SPP1","AIRRAFT"
"ASB","SP","48","SPP","","2","SPP2","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP3","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP4","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP5","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP6","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP7","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP8","AIRRAFT"
"ASB","SP","48","SPP","","3","SPP9","AIRRAFT"
"ASB","SP","48","SPP","","3","SPPA","AIRRAFT"
"ASB","SP","48","SPP","","3","SPPB","AIRRAFT"
"ASB","SL","48","SPP","","2","SPPC","AIRRAFT"
"ASB","SP","48","SPI","6","6","SPI1","ASTRIN"
"ASB","SF","36","SFH","5","5","SFH1","GCARRIER"
"ASB","SE","","SF1","5","5","SF11","GCARRIER"
"ASB","SE","","SF2","5","5","SF21","GCARRIER"
"ASB","SE","","SF3","5","5","SF31","GCARRIER"
"ASB","SE","","SF4","5","5","SF41","GCARRIER"
"ASB","SE","","SF5","5","5","SF51","GCARRIER"
"ASB","SE","","SF6","5","5","SF61","GCARRIER"
