"Name","Location","SDAHPGLT","Base","Remarks","Zone","Gas","Sector","SubSector","SubSectorN","CargoBase","Trade","Star1","Star2","Star3","HW-SDAHPLT","Algn","PAG","ZonedFor","Detailed","Hard1","Hard2","Hard3","Hard4"
"Calliope","1609","E4546514","","","","","BEYOND","B","LIBERTY HALL","7400","Ag Ni","F4 VI","M5 D","","ESSWHLR","Pc","100","","","","","",""
"Zaroq Nova IX","1701","B8C19878","S","","","","BEYOND","C","DIE WELTBUND","4800","Fl Hi","F9 D","","","BLEDHMA","Pc","500","","","","","",""
"Liebskinder","1705","B000520C","T","DurEx Dureum Mining Co","A","","BEYOND","C","DIE WELTBUND","6200","As Ni Va","M7 V","","","BAVDMNH","Pw","670","Lawless belter system","","","","",""
"Feldherrnhalle","1707","A3736679","S","","","","BEYOND","C","DIE WELTBUND","4900","Ni","F3 V","M7 D","","ASDRHMH","Pw","300","","","","","",""
"Quatsch","1708","A636435A","","","","","BEYOND","C","DIE WELTBUND","5000","Ni","K2 V","M1 D","   D","AMTWMMH","Pw","220","","","","","",""
"Abwehr","1709","A4405759","","","","","BEYOND","C","DIE WELTBUND","4900","De Ni Po","F0 VI","M6 D","","ASSDMMH","Pw","300","","","","","",""
"Beinbruch","1802","C6752046","","","","","BEYOND","C","DIE WELTBUND","7600","Lo Ni","G9 D","M5 D","","CMDWMME","Pw","300","","","","","",""
"Alamo Ismat","1805","B7954006","","","","G","BEYOND","C","DIE WELTBUND","5600","Ni","F5 D","M3 D","","BMEWMNE","Pc","104","","","","","",""
"Bundestag","1806","A9031A6E","2","Capital of Die Weltbund","","","BEYOND","C","DIE WELTBUND","7400","Ic Lo Ni Va","K7 V","","","ALVRLMH","Pw","200","","","","","",""
"Bierstube","1808","D8972006","","","","","BEYOND","C","DIE WELTBUND","8600","Lo Ni","F9 V","","","DLEWMNE","Pw","200","","","","","",""
"Tartakover","1810","A560895B","I","Imperial retreat","A","","BEYOND","C","DIE WELTBUND","6100","De Ri","F4 D","","","AMSDHMH","Pw","520","Imperial retreat","","","","",""
"Gasthof","1903","D4037764","","","","","BEYOND","C","DIE WELTBUND","7400","Ic Na Va","M9 V","G6 V","","DSVRHMR","Pw","220","","","","","",""
"Mansagt","1904","C6741009","","","","","BEYOND","C","DIE WELTBUND","7900","Lo Ni","F0 D","M9 D","   D","CMDWLNH","Pw","300","","","","","",""
"Ilse","1905","E3204338","","","","","BEYOND","C","DIE WELTBUND","8800","De Ni Po","F7 IV","","","ESTDMMA","Pw","120","","","","","",""
"Oberprasidenten","1908","A373113B","N","Cp","","","BEYOND","C","DIE WELTBUND","6100","Lo Ni","F7 V","M2 D","","ASDRLMH","Pw","310","","","","","",""
"Nietschze","1909","C5486686","","Disputed colony","A","","BEYOND","C","DIE WELTBUND","5600","Ag Ni","F7 V","","","CMSWHHE","Pw","310","Disputed colony","","","","",""
"Ewig Weibliche","2001","EB673809","","","","","BEYOND","C","DIE WELTBUND","9900","Lo Ni","F6 V","","","ELSWMNH","Pw","320","","","","","",""
"Vierjahreszeiten","2003","B34532F8","","Pr","R","","BEYOND","C","DIE WELTBUND","6800","Lo Ni","F3 V","M5 D","","BSSWMEA","Pw","100","Prison planet","","","","",""
"Liebslied","2006","A9873F0B","T","Assassins' institute","A","","BEYOND","C","DIE WELTBUND","6100","Lo Ni","F1 D","M1 D","","ALDWMNH","Pw","100","Extreme laws/merc trainig","","","","",""
"Zeben","2101","E1002509","","7th world from primary","","","BEYOND","C","DIE WELTBUND","10900","Lo Ni Va","M5 V","","","ESVDMNH","Pw","800","","","","","",""
"Inverted Hanham","2204","C51059D3","","","","G","BEYOND","C","DIE WELTBUND","6300","Ni","G1 V","M7 D","","CMVDMER","Pc","904","","","","","",""
"Beta Centre","2205","A9871009","I","Lanthanum deposits","","G","BEYOND","C","DIE WELTBUND","5900","Lo Ni","F5 VII","","","ALDWLNH","Im","402","","","","","",""
"Alpha Mare","2206","D9C32325","","","","","BEYOND","C","DIE WELTBUND","9500","Fl Lo Ni","M5 V","M7 D","","DLERMME","Pc","310","","","","","",""
"511.Delta.XI","2303","C6527643","","Mined-out world","","","BEYOND","C","DIE WELTBUND","4300","Po","F0 VII","M0 VII","","CMSRHMR","Pc","200","","","","","",""
"Morphy","2304","B5432329","","","","","BEYOND","C","DIE WELTBUND","5900","Lo Ni Po","G0 V","M VII","","BMSRMMH","Pc","220","","","","","",""
"Queen Maud's Land","2305","B216499A","","Origin of name unknown","","","BEYOND","C","DIE WELTBUND","6000","Ic Ni","M0 V","K4 D","","BSVWMEH","Pc","610","","","","","",""
"Hel","2310","B7773009","","","A","","BEYOND","C","DIE WELTBUND","6900","Lo Ni","F7 VI","","","BMDWMNH","Pg","210","Lawless","","","","",""
"Alekhine","2403","B9BA786A","M","Relay point","","","BEYOND","C","DIE WELTBUND","6000","Fl Wa","A0 V","","","BLEAHMH","Pg","940","","","","","",""
"Macchu Picchu","2405","D7318514","","An","","","BEYOND","C","DIE WELTBUND","5400","Na Po","G5 III","M9 D","","DMTDHLR","Pg","500","","","","","",""
"Shequonur","2409","B753460A","","Sanctuary","A","","BEYOND","C","DIE WELTBUND","5000","Ni Po","F8 V","M5 D","","BMSRMNH","Pg","200","","","","","",""
"Dernier Cri","2410","D7663487","","","A","","BEYOND","C","DIE WELTBUND","8700","Lo Ni","F3 V","M0 D","","DMSWMHA","Pg","100","","","","","",""
"Ljubljulianna","2502","B0107C9C","W","","","","BEYOND","D","MAL'GNAR RADIANT","4200","As Na","M5 V","M0 D","","BAVDHEH","Im","700","","","","","",""
"Damn It All","2503","C4050008","","","","","BEYOND","D","MAL'GNAR RADIANT","9800","Ba Ic Lo Ni Va","F0 V","","","CSVWLNA","Pc","000","","","","","",""
"El Uqsor","2505","C2006675","","","","","BEYOND","D","MAL'GNAR RADIANT","7500","Na Ni Va","F7 V","","","CSVDHME","Pc","200","","","","","",""
"Zotral","2509","E5885123","","","A","","BEYOND","D","MAL'GNAR RADIANT","7300","Ag Ni","F5 D","","","EMDWMMR","Pg","400","Company farm world","","","","",""
"Djorun","2603","E4624214","","","","","BEYOND","D","MAL'GNAR RADIANT","8400","Ni","G2 V","","","ESSRMLR","Pg","310","","","","","",""
"Mal'Kask","2608","C8864205","","","A","","BEYOND","D","MAL'GNAR RADIANT","6500","Ni","F0 D","M5 D","","CLDWMNE","Pg","100","Lawless","","","","",""
"Mal'Tranx","2609","D8587213","","Excellent grain wines","A","","BEYOND","D","MAL'GNAR RADIANT","5300","Ag","F1 D","","","DLSWHLR","Pg","420","Lawless, wine smugglers","","","","",""
"Hradec Kralove","2610","E4252005","","","","","BEYOND","D","MAL'GNAR RADIANT","9500","Lo Ni","G4 V","","","ESTWMNE","Pg","720","","","","","",""
"Nangat Parban","2702","B5586217","","","","","BEYOND","D","MAL'GNAR RADIANT","4700","Ag Ni","M5 VI","","","BMSWHLA","Pc","630","","","","","",""
"Mal'Drur","2707","B7839258","","","A","","BEYOND","D","MAL'GNAR RADIANT","3800","Hi","M3 V","M2 D","","BMDRHMA","Pg","310","Mal'Gnar","","","","",""
"Dias XVIII","2708","C5344206","","","","","BEYOND","D","MAL'GNAR RADIANT","6600","Ni","M6 V","","","CMTWMNE","Pg","100","","","","","",""
"Mal'Phlo","2710","X9564201","","","R","G","BEYOND","D","MAL'GNAR RADIANT","10100","Ni","F9 D","M3 D","","XLSWMNI","Pg","102","Developing culture","","","","",""
"Mal'Gnar/Tranx","2807","X4770201","","","R","G","BEYOND","D","MAL'GNAR RADIANT","11100","Lo Ni","M2 V","","","XSDWLNI","Pg","013","Developing culture","","","","",""
"Mal'Gnar/Krusk","2809","E967749+","2","","A","","BEYOND","D","MAL'GNAR RADIANT","7000","Ag Ri","M9 V","M2 D","","ELSWHEH","Pg","710","Mal'Gnar","","","","",""
"Castillio la Vieia","2810","C6006675","","An","","","BEYOND","D","MAL'GNAR RADIANT","7500","Na Ni Va","M8 V","","","CMVDHME","Pg","800","","","","","",""
"Llandrindod","2903","B4401107","","","","","BEYOND","D","MAL'GNAR RADIANT","6700","De Lo Ni Po","G5 V","","","BSSDLNA","Pg","780","","","","","",""
"Castillio la Nueva","2905","B0107C95","","An","","","BEYOND","D","MAL'GNAR RADIANT","3500","As Na","K3 V","","","BAVDHEE","Pg","400","","","","","",""
"Nine Hells","2908","E5885123","","Nine seasons per year","","","BEYOND","D","MAL'GNAR RADIANT","7300","Ag Ni","F4 V","","","EMDWMMR","Pg","700","","","","","",""
"Kazar D'Vargr","3001","D6746565","S","","","","BEYOND","D","MAL'GNAR RADIANT","6500","Ag Ni","F0 D","M6 D","","DMDWHME","Va","610","","","","","",""
"Mal'Gnar","3002","A864727C","2","Cp","A","","BEYOND","D","MAL'GNAR RADIANT","3200","Ag","F7 D","M7 D","","ALSWHMH","Pg","200","Mal'Gnar","","","","",""
"Mal'Krusk","3004","B6544206","N","","A","","BEYOND","D","MAL'GNAR RADIANT","5600","Ni","F5 D","","","BMSWMNE","Pg","500","Lawless","","","","",""
"Mal'Phulk","3007","D9565246","","","A","","BEYOND","D","MAL'GNAR RADIANT","6600","Ag Ni","F8 D","","","DLSWMME","Pg","710","Mal'Gnar","","","","",""
"Mal'Phon","3009","X8656254","","Excellent brandies","R","G","BEYOND","D","MAL'GNAR RADIANT","9400","Ag Ni","K0 D","","","XLSWHMR","Pg","315","Mal'Gnar","","","","",""
"El Maghred al Aqsa","3103","X8945790","","","R","","BEYOND","D","MAL'GNAR RADIANT","9000","Ag Ni","F4 V","M6 D","","XLEWMEP","Pg","300","Devloping culture","","","","",""
"Quintet","3105","D6A46563","","Five subcontinents","R","","BEYOND","D","MAL'GNAR RADIANT","8300","Fl Ni","M0 V","","","DMEWHMR","Pg","310","Developing culture","","","","",""
"Zhuvastou","3106","E8565323","","","A","","BEYOND","D","MAL'GNAR RADIANT","7300","Ag Ni","F8 V","M8 D","","ELSWMMR","Pg","310","Mal'Gnar","","","","",""
"Mal'Tlal","3107","D6544205","S","","A","","BEYOND","D","MAL'GNAR RADIANT","7500","Ni","F3 V","","","DMSWMNE","Pg","920","War","","","","",""
"Corps-a-corps","3109","B5586217","","","","","BEYOND","D","MAL'GNAR RADIANT","4700","Ag Ni","F1 D","M2 D","","BMSWHLA","Pg","210","","","","","",""
"Vrel d'Vargr","3201","C7661208","S","","","","BEYOND","D","MAL'GNAR RADIANT","7800","Lo Ni","F5 V","","","CMSWLNA","Va","930","","","","","",""
"Tindal's Shade","3207","C8678726","S","Resort","","","BEYOND","D","MAL'GNAR RADIANT","6600","Ri","F6 V","M4 D","","CLSWHME","Pg","600","","","","","",""
"Refnar's Monument","3208","B8887875","","Hunting preserves","","","BEYOND","D","MAL'GNAR RADIANT","4500","Ag Ri","F7 D","M6 D","","BLDWHME","Pg","600","","","","","",""
"Mal'Quun","3209","B7657208","S","","A","","BEYOND","D","MAL'GNAR RADIANT","3800","Ag","F6 V","","","BMSWHNA","Pg","300","Lawless","","","","",""
"Nehwon","111","D866970V","S","Rumoured to be magical","","","BEYOND","E","DELTA","5000","Hi","F0 V","","","DLSWHNV","Pc","400","","","","","",""
"G'henna","112","B5487F6A","N","","","","BEYOND","E","DELTA","4000","Ag","F1 D","","","BMSWHMH","Pe","500","","","","","",""
"Al Mushtar","114","B8693638","S","","","","BEYOND","E","DELTA","6800","Lo Ni","F3 D","","","BLSWMMA","Pe","410","","","","","",""
"Sha'noe","119","B8637E8B","N","Delta Yards 5 & 11","","","BEYOND","E","DELTA","5100","","F2 VI","","","BLSRHHH","Pc","600","","","","","",""
"Greater Enigma","212","E8842127","","","","","BEYOND","E","DELTA","9700","Lo Ni","F0 VI","","","ELDWMMA","Pc","800","","","","","",""
"Z'chmel","213","D5596FA0","S","","","G","BEYOND","E","DELTA","7000","Ni","F6 D","M4 D","","DMSWHEP","Pe","402","","","","","",""
"Dorsai","215","A9684F4D","T","","","","BEYOND","E","DELTA","5300","Ni","F3 D","","","ALSWMMH","Pc","710","","","","","",""
"Ani yun'Wiya","216","C8A66E40","","","","","BEYOND","E","DELTA","7000","Fl Ni","F5 V","","","CLEWHMP","Pc","400","","","","","",""
"Qat","217","C5416445","","Abandoned scout base","","G","BEYOND","E","DELTA","5500","Ni Po","F4 V","","","CMSDHME","Pc","204","","","","","",""
"Innuit","218","B9779CD7","S","","","","BEYOND","E","DELTA","2700","Hi In","F4 D","M9 D","","BLDWHEA","Pc","320","","","","","",""
"Chicomecoatl","312","D3333229","","","","","BEYOND","E","DELTA","7900","Lo Ni Po","F5 V","M6 D","","DSTRMMH","Pc","700","","","","","",""
"Intercourse","315","A864996A","2","","","G","BEYOND","E","DELTA","3000","Hi","F4 D","","","ALSWHMH","Pc","201","","","","","",""
"Arrakis","316","B8605B99","","Dune; seitch holdings","","","BEYOND","E","DELTA","6900","De Ni","G5 V","","","BLSDMEH","Pc","210","","","","","",""
"Enigma","319","E6642127","","","","","BEYOND","E","DELTA","9700","Lo Ni","F0 D","M4 D","","EMSWMMA","Pc","100","","","","","",""
"Xochiquetzal","411","C7423005","","","A","","BEYOND","E","DELTA","6500","Lo Ni Po","M4 VI","M1 D","","CMSRMNE","Pc","200","Lawless","","","","",""
"Paradise","413","C6642DF+","","","","","BEYOND","E","DELTA","7000","Lo Ni","F1 D","","","CMSWMEH","Pc","700","","","","","",""
"Do'or Noobt","416","B6792109","N","","","","BEYOND","E","DELTA","6900","Lo Ni","F8 V","M0 D","","BMDWMNH","Pc","710","","","","","",""
"Aytch Pe'el","417","A6884639","N","","","G","BEYOND","E","DELTA","4900","Ni","F3 D","","","AMDWMMH","Pc","715","","","","","",""
"Rama","418","X0VVVVVV","","Rs An","R","G","BEYOND","E","DELTA","8000","As Fl Hi","F4 V","","","XAVVVVV","Pc","101","Ancient-made cylinder","","","","",""
"Tezcatlipoca","512","D5482207","","","A","","BEYOND","E","DELTA","8700","Lo Ni","M0 VI","","","DMSWMNA","Pc","910","Lawless","","","","",""
"Cthulhu","515","B310655B","","","","","BEYOND","E","DELTA","6100","Na Ni","F7 V","","","BSVDHMH","Pc","720","","","","","",""
"Nacirema","516","C8769725","","","","","BEYOND","E","DELTA","3500","Hi In","F8 VI","","","CLDWHME","Pc","510","","","","","",""
"Nyarlathotep","517","C1255788","","","","","BEYOND","E","DELTA","6800","Ni","M6 V","K1 V","","CSTWMHA","Pc","620","","","","","",""
"Corrigan's Revenge","518","A101686D","","","","","BEYOND","E","DELTA","6300","Ic Na Ni Va","M3 D","","","ASVDHMH","Pc","720","","","","","",""
"Xanadu","519","A767460C","","Pleasure facility, costly","","","BEYOND","E","DELTA","5200","Ni","F7 D","","","AMSWMNH","Pc","200","","","","","",""
"Eire","520","B4547679","","Internecine strife","A","","BEYOND","E","DELTA","3900","Ag","F7 V","M7 D","","BSSWHMH","Pc","400","Dangerous sectarian war","","","","",""
"Huitzlpochtli","612","A7689C7E","2","","","","BEYOND","E","DELTA","3400","Hi","F3 V","M3 D","","AMSWHMH","Pc","410","","","","","",""
"Merde","613","E9C5170C","","","","","BEYOND","E","DELTA","11200","Fl Lo Ni","G7 V","M7 D","","ELEWLNH","Pc","200","","","","","",""
"Tindalos","615","A866A8C7","","","","","BEYOND","E","DELTA","2700","Hi","F1 D","","","ALSWHEA","Pc","610","","","","","",""
"K'melot","616","B5679BA6","","","","","BEYOND","E","DELTA","3600","Hi","F8 V","M2 D","","BMSWHEE","Pc","800","","","","","",""
"Valhalla","617","B963828A","","","","","BEYOND","E","DELTA","5000","","G3 D","","","BLSRHHH","Pc","100","","","","","",""
"Norstrilla","619","A862903+","","Self-imposed quarantine","R","","BEYOND","E","DELTA","2000","Hi","F7 D","M3 D","","ALSRHMH","Pc","410","Inhabitants unbearable","","","","",""
"Calmecac","712","B876414B","N","","","","BEYOND","E","DELTA","6100","Ni","F6 D","","","BLDWMMH","Pc","900","","","","","",""
"Gor","714","B8679E73","","Patriachial warrior ethic","","","BEYOND","E","DELTA","3300","Hi","G0 V","M0 VII","","BLSWHMR","Pc","910","","","","","",""
"Lesser Enigma","715","E4542127","","","","","BEYOND","E","DELTA","9700","Lo Ni","F1 D","","","ESSWMMA","Pc","110","","","","","",""
"Kadath","719","A320666B","","Cold wastelands","","G","BEYOND","E","DELTA","5100","De Na Ni Po","M3 V","M3 D","","ASTDHMH","Pc","123","","","","","",""
"Cihuacoatl","811","B3895638","S","","","","BEYOND","E","DELTA","5800","Ni","F1 V","","","BSDWMMA","Pc","100","","","","","",""
"Azathoth","815","B544304A","","","","","BEYOND","E","DELTA","7000","Lo Ni","F5 V","","","BMSWMMH","Pc","500","","","","","",""
"Siva","816","C965521+","S","Assassins' Institute","A","","BEYOND","E","DELTA","5000","Ag Ni","F2 V","","","CLSWMLH","Pc","800","Assassins' Institute","","","","",""
"Pleiades II","818","A00266BE","","Rosette of 7 planetoids","","","BEYOND","E","DELTA","5400","As Ic Na Ni Va","F7 V","","","AAVRHEH","Pc","800","","","","","",""
"Ashiki'","915","B6A2A657","S","","","G","BEYOND","F","METCHI' ALGWA","4700","Fl Hi","F0 VI","M5 D","","BMERHMA","Pc","202","","","","","",""
"Epsilon Centre","916","B563AC99","","","","","BEYOND","F","METCHI' ALGWA","3900","Hi","F0 V","","","BMSRHEH","Pc","100","","","","","",""
"Kitenithwa","918","B4551346","","","","G","BEYOND","F","METCHI' ALGWA","6600","Lo Ni","G1 D","M2 D","","BSSWLME","Pc","702","","","","","",""
"Angkor Wat","920","E3127754","","Temple ruins","","","BEYOND","F","METCHI' ALGWA","7400","Ic Na","F9 V","","","ESVRHMR","Pc","620","","","","","",""
"Tinzhy","1011","C210200C","","","","","BEYOND","F","METCHI' ALGWA","8200","Lo Ni","K4 V","M0 D","","CSVDMNH","Pc","720","","","","","",""
"Shadows","1013","E8A3AC98","","","","","BEYOND","F","METCHI' ALGWA","7800","Fl Hi","F3 V","","","ELERHEA","Pc","900","","","","","",""
