"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field9","Field11","Field12","Field13","Field14","Field16","Field18","Field10"
"-30","2342","6764","3062","4488","2966.2","CLEONS_CAMPAIGN_BEGINS","","","","","","","",""
"0","2376","6788","3084","4518","2979.3","3RD_IMPERIUM_ESTABLISHED.__IMPERIAL_DATING_BEGINS","","","","","","","",""
"50","2433","6830","3123","4568","3001.3","1ST_ZHO._CONTACT_WITH_IMPERIAL_TRADERS","","","","","","","",""
"60","2445","6839","3130","4578","3006.1","COLONISATION_OF_SPINWARD_MARCHES_BEGINS","","","","","","","",""
"76","2463","6852","3142","4594","3013.1","PACIFICATION_CAMPAIGNS_BEGIN","","","","","","","",""
"114","2506","6884","3171","4632","3030.1","SOLOMANI_HYPOTHESIS_PROPOSED","","","","","","","",""
"120","2513","6889","3176","4638","3032.3","PACIFICATION_CAMPAIGNS_END","","","","","","","",""
"148","2545","6912","3197","4666","3045.1","SCOUTS_RE-CONTACT_DARRIANS","","","","","","","",""
"210","2616","6963","3245","4728","3072.2","VARGR_CAMPAIGNS_BEGIN","","","","","","","",""
"348","2773","7078","3350","4866","3133.2","VARGR_CORRIDOR_CAMPAIGNS_END","","","","","","","",""
"380","2810","7105","3374","4898","3147.3","PEACE_OF_FTAHAIR.__IMP.-ASLAN_BORDER ESTABLISHED","","","","","","","",""
"404","2837","7125","3392","4922","3157.1","1ST_SHUDUSHAM_CONCORDS","","","","","","","",""
"420","2855","7138","3405","4938","3165.2","1ST_SURVEY_OF_IMPERIUM_COMPLETED","","","","","","","",""
"426","2862","7143","3409","4944","3168.1","EASTER_CONCORDAT_ABSORBED_INTO_IMPERIUM","","","","","","","",""
"461","2902","7172","3436","4979","3183.2","1ST_ASLAN_CONTACT_WITH_ZHODANI","","","","","","","",""
"475","2918","7184","3447","1993","3189.3","EMPRESS_NICHOLLE_ASSASSIINATED","","","","","","","",""
"489","2934","7196","3457","5007","3195.3","HIVE_CAPITAL_MOVED_TO_GLEA","","","","","","","",""
"500","2947","7205","3466","5018","3200.3","IMPERIAL_EXPLORATIONS_INTO_ZHO._TERRITORY","","","","","","","",""
"588","3047","7278","3533","5106","3239.2","TERRA_INCORPORATED_INTO_IMPERIUM","","","","","","","",""
"589","3048","7279","3533","5107","3240.1","1ST_FRONTIER_WAR_STARTS","","","","","","","",""
"604","3065","7291","3545","5122","3246.3","1ST_FRONTIER_WAR_ENDS.__CIVIL_WAR_BEGINS","","","","","","","",""
"606","3067","7293","3546","5124","3247.2","PLANKWELL_MURDERS_EMPRESS_JACQUELINE_I","","","","","","","",""
"615","3078","7301","3553","5133","3251.2","2ND_FRONTIER_WAR_BEGINS","","","","","","","",""
"620","3083","7305","3557","5138","3253.3","2ND_FRONTIER_WAR_ENDS","","","","","","","",""
"622","3086","7306","3559","5140","3254.3","END_OF_CIVIL_WAR","","","","","","","",""
"624","3088","7308","3560","5142","3255.2","XBOAT_SYSTEM_ESTABLISHED","","","","","","","",""
"679","3151","7354","3602","5197","3279.3","SOLOMANI_POWER_BROKEN_AT_COURT","","","","","","","",""
"704","3179","7375","3621","5222","3290.3","SOLOMANI_AUTONMOUS_REGION_CREATED","","","","","","","",""
"718","3195","7386","3632","5236","3297.1","XBOAT_SYSTEM_COVERS_ENTIRE_IMPERIUM","","","","","","","",""
"750","3232","7413","3656","5268","3311.1","7TH_ZHODANI_CORE_EXPEDITION","","","","","","","",""
"799","3288","7454","3694","5317","3332.3","CRISIS_0F_`99","","","","","","","",""
"800","3289","7454","3694","5318","3333.2","PSIONIC_SUPPRESSIONS_BEGIN","","","","","","","",""
"826","3318","7476","3714","5344","3344.3","PSIONIC_SUPPRESSIONS_END","","","","","","","",""
"652","3348","7498","3734","5371","3345.2","CURRENT_SWORD_WORLDS_GOVT._ESTABLISHED","","","","","","","",""
"871","3370","7514","3748","5389","3364.3","SOLOMANI_CONFEDERATION_ESTABLISHED","","","","","","","",""
"940","3448","7571","3801","5458","3395.1","CONFEDERATION_FRICTION_WITH_IMPERIUM","","","","","","","",""
"950","3460","7579","3809","5468","3399.3","SOLOMANI_RE-INTEGRATED_INTO_IMPERIUM","","","","","","","",""
"979","3493","7603","3831","5497","3412.2","3RD_FRONTIER_WAR_BEGINS","","","","","","","",""
"986","3501","7609","3836","5504","3415.2","3RD_FRONTIER_WAR_ENDS","","","","","","","",""
"990","3505","7613","3839","5508","3417.2","SOLOMANI_RIM_WAR_BEGINS","","","","","","","",""
"998","3515","7619","3845","5516","3420.3","IMPERIAL_ADVANCE_TO_SOLOMANI_CORE","","","","","","","",""
"1002","3519","7623","3848","5520","3422.3","SIEGE_OF_TERRA.__SOLOMANI_RIM_WAR_ENDS","","","","","","","",""
"1005","3523","7625","3851","5523","3424.1","SOLOMANI_HOME_GUARD_CREATED","","","","","","","",""
"1040","3563","7654","3877","5558","3439.2","DESTRUCTION_OF_PHOENIX_PROJECT_BEGINS","","","","","","","",""
"1045","3568","7658","3881","5563","3441.3","DESTRUCTION_OF_PHOENIX_PROJECT_ENDS","","","","","","","",""
"1065","3591","7675","3896","5583","3450.2","2ND_SURVEY_OF_IMPERIUM_COMPLETED","","","","","","","",""
"1082","3610","7689","3909","5600","3458.1","4TH_FRONTIER_WAR_BEGINS.(FALSE WAR)","","","","","","","",""
"1084","3613","7691","3911","5602","3458.3","4TH_FRONTIER_WAR_ENDS.(FALSE WAR)","","","","","","","",""
"1107","3639","7710","3928","5625","3469.1","5TH_FRONTIER_WAR_BEGINS","","","","","","","",""
"1110","3642","7713","3931","5628","3470.2","5TH_FRONTIER_WAR_ENDS","","","","","","","",""
"1116","3649","7717","3935","5634","3473.1","STREPHON_SURVIVES_ASSASSINATION","","","","","","","",""
"1117","3650","7718","3936","5635","3473.3","STRUGGLE_FOR_POWER_COMMENCES","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"EMPEROR","REIGN","THE","BORN","DIED","","","","","","","","","",""
"CLEON_I","0-53","","-57","53","","","","","","","","","",""
"CLEON_II","53-54","WEAK","21","","","","","","","","","","",""
"ARTEMSUS","54-166","","-17","166","","","","","","","","","",""
"MARTIN_I","166-195","","12","195","","","","","","","","","",""
"MARTIN_II","195-244","","53","244","","","","","","","","","",""
"CLEON_III","244-245","MAD","201","245","","","","","","","","","",""
"PORFIRIA","245-326","","201","326","","","","","","","","","",""
"ANGUISTUS","326-365","","246","365","","","","","","","","","",""
"MARTIN_III","365-456","","289","456","","","","","","","","","",""
"MARTIN_V","456-457","","357","457","","","","","","","","","",""
"NICHOLLE","457-475","","401","475","","","","","","","","","",""
"CLEON_IV","475-555","","423","555","","","","","","","","","",""
"JEROME","555-582","","525","582","","","","","","","","","",""
"JACQUELINE_I","582-604","","561","606","","","","","","","","","",""
"OLAV","604-609","","532","609","FLAG","","","","","","","","",""
"RAMON_I","609","","560","609","FLAG","","","","","","","","",""
"CONSTANTUS","609-610","","562","610","FLAG","","","","","","","","",""
"NICOLAI","610-612","","559","612","FLAG","","","","","","","","",""
"GEORGE","612-613","","558","613","FLAG","","","","","","","","",""
"INTERREGNUM","613-615","","","","","","","","","","","","",""
"CLEON_V","615-618","","565","618","FLAG","","","","","","","","",""
"JOSEPH","618","","581","618","FLAG","","","","","","","","",""
"DONALD","618","","579","618","FLAG","","","","","","","","",""
"ENDIRI","618-619","","571","619","FLAG","","","","","","","","",""
"CATHARINE","619","","582","619","FLAG","","","","","","","","",""
"RAMON_II","619","","566","619","FLAG","","","","","","","","",""
"JACQUELINE_II","619","","569","619","FLAG","","","","","","","","",""
"USUTI","619-620","","558","620","FLAG","","","","","","","","",""
"MARAVA","620","","551","620","FLAG","","","","","","","","",""
"IVAN","620-621","","580","621","FLAG","","","","","","","","",""
"MARTIN_VI","621","","597","621","FLAG","","","","","","","","",""
"GUSTUS","621-622","","581","622","FLAG","","","","","","","","",""
"ARBELLATRA ","622-629","REGENT","587","666","","","","","","","","","",""
"ARBELLATRA ","629-666","EMPRESS","587","666","","","","","","","","","",""
"ZHAKIROV","666-688","","624","688","","","","","","","","","",""
"MARGARET_I","688-736","","684","736","","","","","","","","","",""
"PAULO_I","737-767","","684","767","","","","","","","","","",""
"TOMUTOV_1","767-768","","712","801","","","","","","","","","",""
"PAULA_II","768-836","","752","836","","","","","","","","","",""
"TOMUTOVA_II","836-908","","782","908","","","","","","","","","",""
"MARGARET_II","908-945","","901","944","","","","","","","","","",""
"STYRYX","945-989","","920","","","","","","","","","","",""
"GAVIN","989-1031","","946","1031","","","","","","","","","",""
"PAULO_II","1031-1071","","981","1071","","","","","","","","","",""
"STREPHON","1071-NOW!","","1049","NOW!","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NOBLES","FIEF_SIZE","","","","","","HONOUR/ACHIEVEMENT/AWARD/HOLIDAY_NOBLE","","","","","","",""
"KNIGHT","10","ORDER_OF_THE_EMPERORS_GUARD","","","","","RANK_NOBLE","LOCAL","","","","","",""
"(SEPARATE","10","ORDER_OF_THE_STARSHIP_&_CROWN","","","","",".","ADMINISTRATOR","","","","","",""
"BUT_EQUAL)","10","ORDER_OF_HYLUEA_(ASLAN)","","","","","HIGH_NOBLE","","","","","","",""
"","10","ORDER_OF_GVADAKOUNG(VARGR)","","","","","","","","","","","",""
"","10","HONOURABLE_ORDER_OF_THE_ARROW","","","","","","","","","","","",""
"","10","ORDER_OF_ANTARES","","","","","","","","","","","",""
"","10","ORDER_OV_VLAND","","","","","","","","","","","",""
"","10","ORDER_OF_SYLEA","","","","","","","","","","","",""
"","10","ORDER_OF_SOL","","","","","","","","","","","",""
"","10","ORDER_OF_GATEWAY","","","","","","","","","","","",""
"","10","ORDER_OF_DENEB","","","","","","","","","","","",""
"BARONET","0","","","","","","","","","","","","",""
"BARON","100","","","","","","","","","","","","",""
"MARQUIS","1000","","","","","","","","","","","","",""
"COUNT","10000","","","","","","","","","","","","",""
"DUKE","100000","","","","","","","","","","","","",""
"ARCHDUKE","WORLD","","","","","","","","","","","","",""
"EMPEROR","EMPIRE","","","","","","","","","","","","",""
