"NAME","HEX","ZONE","BEs","?","MOD"
"Moughas","2406","","1","","1.1/1.2"
"Rethe","2408","","200000","","1.2/1.5"
"Inthe","2410","","140","","varies"
"Paya","2509","","0","","0.85/1.45"
"Dhian","2510","","0","","1.15/1.2"
"Corfu","2602","R","0","","varies"
"Focaline","2607","","0","","0.85/1.45"
"Lablon","2701","","1","","1.1/1.2"
"Heguz","2706","","1","","1/1.5"
"Violante","2708","","1","","0.95/1.4"
"Pavanne","2905","","1","","0.95/1.4"
"Carsten","2906","","1","","0.5/1.5"
"Zila","2908","A","1","","1/1.5"
"Jesedipere","3001","","1","","0.5/1.5"
"Yebab","3002","","2000","","1.15/1.2"
"Nasemin","3003","","0","","1/1.5"
"Zykoca","3004","R","0","","0.85/1.45"
"Aramanx","3005","","30000","","varies"
"Pysadi","3008","","1","","0.75/1.5"
"L'oeul d'Dieu","3010","","1","","0.8/1.4"
"Rugbird","3102","A","14","","0.9/1.2"
"Towers","3103","A","0","","0.85/1.45"
"Feneteman","3104","","0","","0.5/1.5"
"Lewis","3107","R","0","","0.5/1.5"
"Aramis","3110","","1","","0.95/1.4"
"Junidy","3202","","140000","","1.1/1.2"
"Patinir","3207","","14","","0.9/1.2"
"Natoko","3209","A","14","","0.8/1.4"
"Reacher","3210","A","14","","0.85/1.45"
"Atson","0111","","2","","1.15/1.2"
"Yiktor","0114","","0","","0.9/1.2"
"Xhosa","0115","","0","","1/1.5"
"Prinx","0212","","30","","0.9/1.2"
"Rushu","0215","","30","","parent"
"Bael","0218","","0","","0.5/1.5"
"Mizan-fel","0311","","2","","1.1/1.2"
"Sansibar","0412","","0","","0.8/1.4"
"Attica","0414","","2","","0.85/1.45"
"Retinae","0416","","25000","","1.2/1.5"
"Terra Nova","0511","","0","","0.85/1.45"
"Asmodeus","0512","","1","","0.5/1.5"
"Faisal","0518","","0","","0.9/1.2"
"Lebeau","0613","","1","","0.95/1.4"
"Querion","0614","","140","","1.1/1.2"
"Dekalb","0618","","300","","1.15/1.2"
"Winston","0620","","3","","varies"
"Rapp's World","0712","","0","","1/1.5"
"Thanber","0717","","11","","0.95/1.4"
"Entrope","0720","","110000","","1.2/1.5"
"Anselhome","0820","","2","","1.1/1.2"
"Caloran","0911","","0","","0.85/1.45"
"899-076","0912","","0","","0.5/1.5"
"Quare","0915","","1","","0.85/1.45"
"Zeta 2","0919","R","0","","0.5/1.5"
"Arden","1011","","20000","","1.2/1.5"
"Choleosti","1018","","0","","0.5/1.5"
"Margesi","1020","A","30","","varies"
"Frenzie","1116","","0","","0.9/1.2"
"Garda-Vilis","1118","","1400","","parent"
"Vilis","1119","","14000","","0.85/1.45"
"Digitis","1212","","30","","1.1/1.2"
"Edinina","1213","A","0","","1/1.5"
"728-907","1214","","0","","0.5/1.5"
"Stellatio","1216","","1","","1/1.5"
"Arkadia","1217","","3000","","0.85/1.45"
"Tremous Dex","1311","","0","","0.8/1.4"
"Mirriam","1315","","0","","0.5/1.5"
"Saurus","1320","","2","","1.1/1.2"
"Rangent","1411","","20","","0.8/1.4"
"Denotam","1413","","1","","varies"
"Ficant","1417","","1","","0.95/1.4"
"Tionale","1511","A","0","","1/1.5"
"Calit","1515","","0","","parent"
"Asgard","1519","R","1000","","1.2/1.5"
"Tavonni","1520","","0","","0.5/1.5"
"Phlume","1611","","20","","1/1.5"
"Extolay","1711","","1400","","1.15/1.2"
"Lanth","1719","","14000","","0.9/1.2"
"Dinom","1811","","1","","0.9/1.2"
"Ghandi","1815","","0","","0.95/1.4"
"Victoria","1817","R","1000","","varies"
"Dinomn","1912","","14","","0.9/1.2"
"Ylaven","1916","R","10","","0.95/1.4"
"Sonthert","1918","R","0","","1.2/1.5"
"D'Ganzio","1920","","0","","0.8/1.4"
"Wypoc","2011","A","2","","0.85/1.45"
"Djinni","2111","R","0","","0.5/1.5"
"Rech","2112","","300","","1.2/1.5"
"Kkirka","2212","","0","","0.85/1.45"
"Quopist","2215","A","14","","varies"
"Treece","2311","","2000","","parent"
"Echiste","2313","","0","","0.8/1.4"
"Pirema","2314","","0","","0.85/1.45"
"Rhise","2317","A","1","","varies"
"Ivendo","2319","","14","","0.95/1.4"
"Keanou","2411","","0","","0.85/1.45"
"Tureded","2414","","1","","0.85/1.45"
"Vreibefger","2415","","10","","0.85/1.45"
"La'Belle","2416","","0","","0.8/1.4"
"Equus","2417","","1400","","0.95/1.4"
"Icetina","2418","A","2","","1.2/1.5"
"Cogri","2419","","14","","0.85/1.45"
"Skull","2420","","20","","1.2/1.5"
"Kinorb","2512","","0","","0.9/1.2"
"Gileden","2514","","0","","0.5/1.5"
"Plannet","2519","","20","","varies"
"Garrincski","2520","","2","","1/1.5"
"Macene","2612","","0","","0.95/1.4"
"Fulacin","2613","","0","","0.8/1.4"
"Natoko","2620","","14000","","1.2/1.5"
"Risek","2712","","1","","varies"
"Porozlo","2715","","140000","","varies"
"Rhylanor","2716","","5000","","0.9/1.2"
"Loneseda","2720","","0","","0.8/1.4"
"Valhalla","2811","","0","","0.9/1.2"
"Zivije","2812","A","14000","","1.15/1.2"
"Jae Tellona","2814","","2","","parent"
"Gerome","2818","R","0","","0.5/1.5"
"Henoz","2912","","1","","0.85/1.45"
"Celepina","2913","","0","","0.95/1.4"
"Gitosy","2918","","14","","varies"
"Belizo","3015","","30","","0.85/1.45"
"Kegena","3016","A","10","","parent"
"Heroni","3017","","100","","0.8/1.4"
"457-973","3019","R","0","","0.8/1.4"
"Somem","3020","","0","","0.85/1.45"
"Vinorian","3111","","14","","0.8/1.4"
"Nutema","3112","","0","","0.8/1.4"
"Huderu","3114","R","0","","0.5/1.5"
"Cipatwe","3118","","300","","1.15/1.2"
"Vanejen","3119","","3000","","0.95/1.4"
"Margesi","3212","","3000","","0.95/1.4"
"Bevy","3216","","14000","","1.2/1.5"
"Tacaxeb","3218","","14000","","0.8/1.4"
"Powaza","3220","","14000","","parent"
"Junction","122","","1","","0.85/1.45"
"Uniqua","0129","","10","","parent"
"Garoo","0130","","1400","","1.2/1.5"
"Stern-Stern","0223","","1","","1.1/1.2"
"886-945","0230","","0","","0.5/1.5"
"Nomym","0321","","1400","","1.15/1.2"
"Laberv","0325","","1","","0.85/1.45"
"Ektron","0326","","14","","0.95/1.4"
"Zamine","0421","","14000","","varies"
"Engrange","0425","","200","","parent"
"Ilium","0426","","1400","","0.9/1.2"
"Roget","0427","","140","","varies"
"Kardin","0429","","0","","1/1.5"
"Bularia","0430","","30","","1/1.5"
"Rorre","0526","","0","","0.95/1.4"
"Mire","0527","","140000","","1.15/1.2"
"Condaria","0528","","140000","","1.15/1.2"
"Dorannia","0530","","2","","1.1/1.2"
"Terant 340","0622","","1","","1.2/1.5"
"Jacent","0624","","11","","0.85/1.45"
"494-908","0625","R","0","","0.5/1.5"
"Darrian","0627","","5000","","0.95/1.4"
"Torment","0721","R","0","","0.9/1.2"
"Trifuge","0723","","1","","0.95/1.4"
"Nosea","0724","","11","","1.1/1.2"
"Spume","0727","","0","","0.5/1.5"
"Ator","0729","","0","","0.95/1.4"
"Cunnonic","0822","","100","","varies"
"Debarre","0830","A","0","","1/1.5"
"Hrunting","0921","","140","","0.85/1.45"
"Tizon","0922","","1400","","1.1/1.2"
"Narsil","0927","","140000","","0.95/1.4"
"Flammarion","0930","","14000","","0.8/1.4"
"Colada","1022","A","14","","1.1/1.2"
"Anduril","1026","","1400","","0.95/1.4"
"Mjolnir","1121","","1","","0.85/1.45"
"Joyeuse","1123","A","140","","varies"
"Orcrist","1126","","140","","0.9/1.2"
"Enos","1130","","3","","1.15/1.2"
"Gungnir","1221","","200","","varies"
"Gram","1223","","14000","","0.95/1.4"
"Excalibur","1225","","140","","0.95/1.4"
"Tyrfing","1324","","140","","0.9/1.2"
"Sacnoth","1325","","11000","","0.95/1.4"
"Caladbolg","1329","","140","","varies"
"Beater","1424","","14","","1.1/1.2"
"Gunn","1429","A","0","","0.8/1.4"
"Caliburn","1430","","1","","0.8/1.4"
"Dyrnwyn","1522","","0","","0.8/1.4"
"Durendal","1523","","0","","0.9/1.2"
"Hofud","1524","","1","","0.95/1.4"
"Sting","1525","","1","","1.15/1.2"
"Biter","1526","","14","","1/1.5"
"Steel","1529","","0","","0.5/1.5"
"Iron","1626","","0","","0.5/1.5"
"Bronze","1627","","0","","0.5/1.5"
"Mithril","1628","","0","","0.5/1.5"
"Arba","1721","","0","","0.5/1.5"
"Wardn","1727","A","0","","1.1/1.2"
"Olympia","1728","","0","","0.85/1.45"
"Smoug","1729","","140","","1.1/1.2"
"Rabwhar","1822","","3000","","1.1/1.2"
"Adabicci","1824","","1400","","1.15/1.2"
"Zaibon","1825","","1","","0.85/1.45"
"Tenalphi","1826","","0","","0.5/1.5"
"Ianic","1924","","30","","1.15/1.2"
"Spirelle","1927","","2000","","0.85/1.45"
"Derchon","2024","","2000","","1.15/1.2"
"Lunion","2124","","11000","","1.1/1.2"
"Shirene","2125","A","140","","0.8/1.4"
"Penkwar","2128","R","0","","0.8/1.4"
"Harvosette","2129","","140","","0.9/1.2"
"Carse","2224","","0","","1/1.5"
"Persephone","2228","","1400","","0.9/1.2"
"Quiru","2321","","0","","0.5/1.5"
"Gorram","2322","R","0","","1/1.5"
"Resten","2323","","0","","0.5/1.5"
"Capon","2324","","140","","0.85/1.45"
"Sharrip","2325","","0","","0.5/1.5"
"Strouden","2327","","11000","","1.1/1.2"
"Gandr","2425","","0","","0.85/1.45"
"Drolraw","2426","","0","","0.8/1.4"
"Heroni","2521","","0","","1.1/1.2"
"Byret","2523","","30","","1.15/1.2"
"Pimane","2527","","0","","0.85/1.45"
"Fosey","2621","","14","","0.95/1.4"
"Mercury","2624","","20","","parent"
"Tivid","2627","","1","","varies"
"Carey","2726","","0","","1/1.5"
"Duale","2728","","140","","1.1/1.2"
"Catuz","2824","","0","","1.1/1.2"
"Meleto","2827","","0","","0.5/1.5"
"Hexos","2828","","1","","1/1.5"
"Pedase","2830","","0","","0.85/1.45"
"Moran","2924","A","0","","0.5/1.5"
"Maitz","2927","","1","","0.8/1.4"
"Mainz","2930","","0","","0.95/1.4"
"Brodie","3021","","1","","parent"
"Rorise","3022","","0","","0.5/1.5"
"Jokotre","3024","","0","","0.75/1.5"
"Fornice","3025","","110000","","1.1/1.2"
"Grille","3026","","110000","","0.9/1.2"
"Pallique","3029","A","7000","","parent"
"Nexine","3030","","1","","0.85/1.45"
"Nadrin","3123","","0","","0.5/1.5"
"Mora","3124","","5000","","1.2/1.5"
"Fenl's Gren","3228","A","0","","0.85/1.45"
"Emape","0133","A","1","","0.5/1.5"
"Raweh","0139","A","0","","0.5/1.5"
"876-574","0140","","0","","0.5/1.5"
"Saxe","0231","","2","","0.85/1.45"
"Andor","0236","R","140","","0.9/1.2"
"769-422","0240","","1","","0.5/1.5"
"Gothe","0332","","3","","1.15/1.2"
"Mirriam","0333","A","1400","","1.2/1.5"
"Candory","0336","R","20","","0.9/1.2"
"Wonderay","0340","","1","","parent"
"Jone","0433","A","140","","1.1/1.2"
"Jinx","0440","A","0","","0.9/1.2"
"Ucella","0532","A","30","","0.95/1.4"
"Penelope","0533","","100","","0.85/1.45"
"Karin","0534","A","110","","parent"
"Wonstar","0538","A","200","","0.85/1.45"
"Froin","0539","","0","","1/1.5"
"Gohature","0632","","200","","parent"
"Quhaiathat","0637","","140","","1.15/1.2"
"Lakou","0638","A","1","","0.95/1.4"
"Ralhe","0731","","2","","parent"
"Iderati","0732","","110","","1.15/1.2"
"Tondoul","0739","","100","","1.2/1.5"
"875-496","0834","A","1","","1/1.5"
"Ochecate","0837","","2","","parent"
"Mewey","0838","","300","","1.15/1.2"
"975-452","0840","","0","","0.8/1.4"
"Asteltine","0931","","1","","0.5/1.5"
"Inchin","0938","","0","","0.95/1.4"
"Singer","0940","","300","","varies"
"567-908","1031","","0","","0.5/1.5"
"Avastan","1037","","1","","1/1.5"
"Kwai Ching","1040","","140","","0.95/1.4"
"Faldor","1131","","140","","1.2/1.5"
"Bowman","1132","","0","","0.5/1.5"
"Squallia","1133","","14","","varies"
"Tarsus","1138","","14","","1/1.5"
"Walston","1232","","100","","0.9/1.2"
"Flexos","1233","","2","","1/1.5"
"Collace","1237","","11000","","0.85/1.45"
"Pavabid","1238","A","3000","","0.75/1.5"
"Datrillian","1331","","20","","0.9/1.2"
"Nirton","1332","R","0","","0.5/1.5"
"Judice","1337","","0","","0.5/1.5"
"Trexalon","1339","","1100","","0.95/1.4"
"Motmos","1340","","30","","1.1/1.2"
"Noctocol","1433","","300","","0.85/1.45"
"Tarkine","1434","A","20","","parent"
"Dallia","1435","","1400","","1.1/1.2"
"Talos","1436","","1","","0.9/1.2"
"Dawnworld","1531","","0","","0.5/1.5"
"Elixabeth","1532","","1","","parent"
"Forine","1533","","14000","","1.1/1.2"
"Mertactor","1537","","140","","0.9/1.2"
"Talchek","1631","A","2","","parent"
"Milagro","1632","","200","","1.1/1.2"
"Pegaton","1634","","5000","","varies"
"Binges","1635","","0","","0.9/1.2"
"Mille Falcs","1637","","0","","parent"
"Grote","1731","","0","","0.5/1.5"
"Lydia","1733","","0","","0.9/1.2"
"Melior","1736","A","0","","parent"
"Egypt","1737","","0","","parent"
"Aster","1739","","0","","0.8/1.4"
"Callia","1836","","0","","0.95/1.4"
"Mithras","1932","","0","","0.85/1.45"
"Weiss","1934","A","0","","parent"
"Windsor","1935","","0","","0.8/1.4"
"Overnale","1937","","0","","varies"
"New Rome","1938","","0","","parent"
"Craw","1939","","0","","0.85/1.45"
"Aki","2035","A","0","","1.1/1.2"
"Glisten","2036","","0","","1.1/1.2"
"Trane","2038","","0","","1/1.5"
"Centry","2132","","0","","0.85/1.45"
"Caledonia","2134","","0","","0.9/1.2"
"Sorel","2137","","0","","1.15/1.2"
"Horosho","2138","","0","","1.2/1.5"
"Romor","2140","","0","","0.95/1.4"
"Marastan","2231","","0","","varies"
"Crout","2232","","0","","1.2/1.5"
"Tirem","2233","","0","","varies"
"Inthe","2234","","0","","1.15/1.2"
"Tsarina","2236","A","0","","0.9/1.2"
"Wurzburg","2237","A","0","","0.5/1.5"
"Bicornn","2331","","0","","varies"
"Ffudn","2334","","0","","1.15/1.2"
"Bendor","2336","","0","","0.95/1.4"
"Burston","2534","","0","","parent"
"Squanine","2536","","0","","0.95/1.4"
"Dobham","2537","","0","","0.95/1.4"
"Pyramus","2538","","0","","0.9/1.2"
"Thisbe","2539","","0","","1.2/1.5"
"Aramis","2540","","0","","varies"
"Robin","2637","","0","","1.15/1.2"
"D'Mara","2638","","0","","1.15/1.2"
"Kelcher","2639","","0","","parent"
"Tussinian","2731","","0","","1/1.5"
"Edenelt","2733","","0","","1.1/1.2"
"Conway","2735","","0","","1.1/1.2"
"Doods","2739","","0","","0.75/1.5"
"Leander","2832","","0","","0.85/1.45"
"Pepernium","2833","","0","","0.9/1.2"
"Traltha","2834","","0","","0.9/1.2"
"Farquahar","2839","","0","","parent"
"Raydrad","2933","","0","","varies"
"Zyra","2934","","0","","0.85/1.45"
"Murchison","2935","","0","","0.9/1.2"
"Hammermium","2936","","0","","1.2/1.5"
"Thornnastor","2940","","0","","0.85/1.45"
"Katarulu","3032","","0","","parent"
"Prilissa","3035","","0","","1.1/1.2"
"Tee-Tee-Tee","3038","","0","","0.9/1.2"
"Youghal","3039","","0","","parent"
"Tenelphi","3040","","0","","varies"
"Zephyr","3138","R","0","","parent"
"Chamois","3139","","0","","0.85/1.45"
"Dojodo","3223","","0","","0.8/1.4"
"Ramiva","3233","","0","","1.2/1.5"
"Trin","3235","","0","","1.15/1.2"
"Hazel","3236","A","0","","0.85/1.45"
