"ORG","GIC","RSM","RAD","HVY","IND","LGT","HEX","NAME"
"","","","","","","","2015","CATHAY"
"","","","","","","","2017","DUIKIN_TYUI"
"","","","","","","","2021","HARIKSIAT"
"","","","","","","","2027","ISHIMSHULGI"
"","","","","","","","2028","PROMETHEUS"
"","","","","","","","2029","PERASPERA"
"","","","","","","","2030","MIDWAY"
"","","","","","","","2031","HADES"
"","","","","","","","2102","CALGARY"
"","","","","","","","2104","JACKOYO"
"","","","","","","","2105","SISHERA"
"","","","","","","","2106","GUNASHNAN"
"","","","","","","","2109","OGIER"
"","","","","","","","2114","ELEUSIS*"
"","","","","","","","2118","SITHUAN_HSARR"
"","","","","","","","2121","DZADWAHTYAN"
"","","","","","","","2131","LAGASH*"
"","","","","","","","2132","INFERNO"
"","","","","","","","2135","FORLORN"
"","","","","","","","2138","NEW_GREENPERNT"
"","","","","","","","2205","GWYNEDD"
"","","","","","","","2213","IKAAKUR"
"","","","","","","","2218","HSUARRDZAN"
"","","","","","","","2222","MUAN_KWOYEN"
"","","","","","","","2227","NINKHUR_SAGGA"
"","","","","","","","2228","EMBER"
"","","","","","","","2235","LOKI"
"","","","","","","","2236","MEDEA"
"","","","","","","","2240","POLLUX"
"","","","","","","","2303","HANUMAN"
"","","","","","","","2308","ZAPUUSHAR"
"","","","","","","","2312","EPHEMIR"
"","","","","","","","2319","MENELAUS"
"","","","","","","","2323","SHULGIASU"
"","","","","","","","2325","MUKHALDIM"
"","","","","","","","2330","KAGUK"
"","","","","","","","2337","DISMAL"
"","","","","","","","2339","SIVA"
"","","","","","","","2402","CASTOR"
"","","","","","","","2403","ESTIGARRIBIA"
"","","","","","","","2405","MUSHIDDUN"
"","","","","","","","2406","NASU"
"","","","","","","","2407","INIDU"
"","","","","","","","2408","CAMBRIA"
"","","","","","","","2411","XIWA"
"","","","","","","","2414","SURT"
"","","","","","","","2415","ISSEYDO"
"","","","","","","","2418","SHANI"
"","","","","","","","2419","KHALIKKAM"
"","","","","","","","2420","ZAYEEL"
"","","","","","","","2433","ARRUKIR"
"","","","","","","","2502","DEMETER"
"","","","","","","","2506","JADE"
"","","","","","","","2509","GADDEN"
"","","","","","","","2513","SCARAMOUCHE"
"","","","","","","","2514","DIPUSHKA"
"","","","","","","","2516","MANDRAKE"
"","","","","","","","2517","URIZEN"
"","","","","","","","2518","MURPHY"
"","","","","","","","2521","GANESH"
"","","","","","","","2527","IKUK"
"","","","","","","","2528","CYMBELINE"
"","","","","","","","2536","TEWFIK"
"","","","","","","","2538","CARCHEMISH"
"","","","","","","","2601","THEOTIS"
"","","","","","","","2602","UKARIN"
"","","","","","","","2603","GASHURZID"
"","","","","","","","2608","MISKATONIC"
"","","","","","","","2612","BEATUS"
"","","","","","","","2617","MIMIIS"
"","","","","","","","2618","IMKHAMMASH"
"","","","","","","","2623","CATANIA"
"","","","","","","","2626","HATHOR"
"","","","","","","","2628","MELCHIOR"
"","","","","","","","2631","SCANDIA"
"","","","","","","","2635","TLALOC"
"","","","","","","","2636","ELSINORE"
"","","","","","","","2703","PAVEL"
"","","","","","","","2704","ALPHER"
"","","","","","","","2708","OKOTAH"
"","","","","","","","2713","AZURE"
"","","","","","","","2714","KHUGI"
"","","","","","","","2720","PINNASHDUG"
"","","","","","","","2722","NYARLATHOTEP"
"","","","","","","","2723","TUNGUSKA"
"","","","","","","","2729","ANENERKUK"
"","","","","","","","2731","TAMARIND"
"","","","","","","","2732","OCHRE"
"","","","","","","","2734","LYONESSE"
"","","","","","","","2740","TRAPEZUS"
"","","","","","","","2807","LAPUTA"
"","","","","","","","2808","PHIREENE"
"","","","","","","","2812","UMBER"
"","","","","","","","2816","NISINASHA"
"","","","","","","","2820","IMMIR"
"","","","","","","","2821","AQILAT"
"","","","","","","","2834","JAEL*"
"","","","","","","","2835","GOLIAD"
"","","","","","","","2836","KUKULCAN"
"","","","","","","","2840","CYPRIAN"
"","","","","","","","2902","JOCASTA"
"","","","","","","","2905","AOSTA"
"","","","","","","","2906","ARKIIRKII*"
"","","","","","","","2910","KESIRISU"
"","","","","","","","2911","HUY_BRASEAL"
"","","","","","","","2912","SATHYOS"
"","","","","","","","2913","RILD"
"","","","","","","","2915","NEWCOMB"
"","","","","","","","2918","PAJANG"
"","","","","","","","2920","NORICUM"
"","","","","","","","2921","BANASDAN*"
"","","","","","","","2928","ARCTURUS"
"","","","","","","","2932","EPIRUS"
"","","","","","","","2937","SKANDERBEG"
"","","","","","","","2938","CYAN"
"","","","","","","","2939","SANTORINI"
"","","","","","","","3001","HASDRUBAL"
"","","","","","","","3006","KARPATY"
"","","","","","","","3008","SYZYGY"
"","","","","","","","3009","JANOSZ"
"","","","","","","","3010","SHAPAM"
"","","","","","","","3011","KIRILLISHUR"
"","","","","","","","3015","ARIEL"
"","","","","","","","3017","UKU"
"","","","","","","","3024","ALTIPLANO"
"","","","","","","","3026","LAMARCH"
"","","","","","","","3028","THORWALD"
"","","","","","","","3029","HARAPPA"
"","","","","","","","3035","KURLAND"
"","","","","","","","3101","CAPRICE"
"","","","","","","","3102","CARLYLE"
"","","","","","","","3106","KHIGGUN"
"","","","","","","","3107","RANN"
"","","","","","","","3108","IIPSHIDAN"
"","","","","","","","3109","CAMBYSES"
"","","","","","","","3113","CHAMPA"
"","","","","","","","3127","SASHINGUN"
"","","","","","","","3130","BOLIVAR"
"","","","","","","","3132","STRACKENZ"
"","","","","","","","3134","SASKATOON"
"","","","","","","","3136","AMATERASU"
"","","","","","","","3201","XANTIPPE"
"","","","","","","","3202","PALNU"
"","","","","","","","3203","OPAR"
"","","","","","","","3204","IRASHNAR"
"","","","","","","","3208","RITH"
"","","","","","","","3209","KILENNUR"
"","","","","","","","3213","PAGLIACCI"
"","","","","","","","3217","LUDOVIC"
"","","","","","","","3218","CEPHESA"
"","","","","","","","3219","LAKAMSAL"
"","","","","","","","3221","ONATHY"
"","","","","","","","3225","HERAKLION"
"","","","","","","","3232","JORJOR"
"","","","","","","","3234","OBERON"
"","","","","","","","3235","SCIPIO"
"","","","","","","","3239","CULDEE"
"","","","","","","","HEX","DUNSINANE"
